UF;FAIXA_AGING_PEDIDO;DATA_ATUALIZACAO;QTE
PR;8-12 DIAS;2022-02-01;279
PR;8-12 DIAS;2022-02-02;346
PR;8-12 DIAS;2022-02-03;363
PR;8-12 DIAS;2022-02-04;411
PR;8-12 DIAS;2022-02-05;445
PR;8-12 DIAS;2022-02-06;420
PR;8-12 DIAS;2022-02-07;273
PR;ACIMA DE 30 DIAS;2022-01-29;59
PR;ACIMA DE 30 DIAS;2022-01-30;64
PR;ACIMA DE 30 DIAS;2022-01-31;65
PR;ACIMA DE 30 DIAS;2022-02-01;55
PR;ACIMA DE 30 DIAS;2022-02-02;53
PR;ACIMA DE 30 DIAS;2022-02-03;49
PR;ACIMA DE 30 DIAS;2022-02-04;47
PR;ACIMA DE 30 DIAS;2022-02-05;43
PR;ACIMA DE 30 DIAS;2022-02-06;44
PR;ACIMA DE 30 DIAS;2022-02-07;40
PR;SEM DATA DE ABERTURA;2022-01-29;3
PR;SEM DATA DE ABERTURA;2022-01-30;3
PR;SEM DATA DE ABERTURA;2022-01-31;3
PR;SEM DATA DE ABERTURA;2022-02-01;3
PR;SEM DATA DE ABERTURA;2022-02-02;3
PR;SEM DATA DE ABERTURA;2022-02-03;3
PR;SEM DATA DE ABERTURA;2022-02-04;3
PR;SEM DATA DE ABERTURA;2022-02-05;3
PR;SEM DATA DE ABERTURA;2022-02-06;3
PR;SEM DATA DE ABERTURA;2022-02-07;3
RJ;0-4 DIAS;2022-01-29;3245
RJ;0-4 DIAS;2022-01-30;2600
RJ;0-4 DIAS;2022-01-31;2292
RJ;0-4 DIAS;2022-02-01;2597
RJ;0-4 DIAS;2022-02-02;3045
RJ;0-4 DIAS;2022-02-03;3417
RJ;0-4 DIAS;2022-02-04;3786
RJ;0-4 DIAS;2022-02-05;3606
RJ;0-4 DIAS;2022-02-06;2726
RJ;0-4 DIAS;2022-02-07;2346
RJ;13-20 DIAS;2022-01-29;362
RJ;13-20 DIAS;2022-01-30;451
RJ;13-20 DIAS;2022-01-31;533
RJ;13-20 DIAS;2022-02-01;444
RJ;13-20 DIAS;2022-02-02;410
RJ;13-20 DIAS;2022-02-03;380
RJ;13-20 DIAS;2022-02-04;320
RJ;13-20 DIAS;2022-02-05;272
RJ;13-20 DIAS;2022-02-06;327
RJ;13-20 DIAS;2022-02-07;314
RJ;21-30 DIAS;2022-01-29;173
RJ;21-30 DIAS;2022-01-30;152
RJ;21-30 DIAS;2022-01-31;187
RJ;21-30 DIAS;2022-02-01;196
RJ;21-30 DIAS;2022-02-02;218
RJ;21-30 DIAS;2022-02-03;227
RJ;21-30 DIAS;2022-02-04;212
RJ;21-30 DIAS;2022-02-05;182
RJ;21-30 DIAS;2022-02-06;149
RJ;21-30 DIAS;2022-02-07;143
RJ;5-7 DIAS;2022-01-29;401
RJ;5-7 DIAS;2022-01-30;596
RJ;5-7 DIAS;2022-01-31;986
RJ;5-7 DIAS;2022-02-01;980
RJ;5-7 DIAS;2022-02-02;985
RJ;5-7 DIAS;2022-02-03;731
RJ;5-7 DIAS;2022-02-04;433
RJ;5-7 DIAS;2022-02-05;532
RJ;5-7 DIAS;2022-02-06;724
RJ;5-7 DIAS;2022-02-07;1081
RJ;8-12 DIAS;2022-01-29;739
RJ;8-12 DIAS;2022-01-30;663
RJ;8-12 DIAS;2022-01-31;554
RJ;8-12 DIAS;2022-02-01;483
RJ;8-12 DIAS;2022-02-02;585
RJ;8-12 DIAS;2022-02-03;642
RJ;8-12 DIAS;2022-02-04;690
RJ;8-12 DIAS;2022-02-05;783
RJ;8-12 DIAS;2022-02-06;735
RJ;8-12 DIAS;2022-02-07;472
RJ;ACIMA DE 30 DIAS;2022-01-29;1981
RJ;ACIMA DE 30 DIAS;2022-01-30;1990
RJ;ACIMA DE 30 DIAS;2022-01-31;1993
RJ;ACIMA DE 30 DIAS;2022-02-01;1966
RJ;ACIMA DE 30 DIAS;2022-02-02;1950
RJ;ACIMA DE 30 DIAS;2022-02-03;1942
RJ;ACIMA DE 30 DIAS;2022-02-04;1950
RJ;ACIMA DE 30 DIAS;2022-02-05;1958
RJ;ACIMA DE 30 DIAS;2022-02-06;1970
RJ;ACIMA DE 30 DIAS;2022-02-07;1966
RJ;SEM DATA DE ABERTURA;2022-01-29;16
RJ;SEM DATA DE ABERTURA;2022-01-30;16
RJ;SEM DATA DE ABERTURA;2022-01-31;16
RJ;SEM DATA DE ABERTURA;2022-02-01;16
RJ;SEM DATA DE ABERTURA;2022-02-02;22
RJ;SEM DATA DE ABERTURA;2022-02-03;22
RJ;SEM DATA DE ABERTURA;2022-02-04;28
RJ;SEM DATA DE ABERTURA;2022-02-05;28
RJ;SEM DATA DE ABERTURA;2022-02-06;30
RJ;SEM DATA DE ABERTURA;2022-02-07;30
RN;0-4 DIAS;2022-01-29;72
RN;0-4 DIAS;2022-01-30;68
RN;0-4 DIAS;2022-01-31;65
RN;0-4 DIAS;2022-02-01;61
RN;0-4 DIAS;2022-02-02;66
RN;0-4 DIAS;2022-02-03;69
RN;0-4 DIAS;2022-02-04;73
RN;0-4 DIAS;2022-02-05;65
RN;0-4 DIAS;2022-02-06;65
RN;0-4 DIAS;2022-02-07;55
RN;13-20 DIAS;2022-01-29;3
RN;13-20 DIAS;2022-01-30;7
RN;13-20 DIAS;2022-01-31;7
RN;13-20 DIAS;2022-02-01;5
RN;13-20 DIAS;2022-02-02;3
RN;13-20 DIAS;2022-02-03;5
RN;13-20 DIAS;2022-02-04;5
RN;13-20 DIAS;2022-02-05;4
RN;13-20 DIAS;2022-02-06;5
RN;13-20 DIAS;2022-02-07;4
RN;21-30 DIAS;2022-01-29;1
RN;21-30 DIAS;2022-01-30;1
RN;21-30 DIAS;2022-01-31;1
RN;21-30 DIAS;2022-02-01;1
RN;21-30 DIAS;2022-02-02;1
RN;21-30 DIAS;2022-02-03;1
RN;21-30 DIAS;2022-02-04;1
RN;21-30 DIAS;2022-02-05;1
RN;21-30 DIAS;2022-02-06;1
RN;21-30 DIAS;2022-02-07;1
RN;5-7 DIAS;2022-01-29;5
RN;5-7 DIAS;2022-01-30;8
RN;5-7 DIAS;2022-01-31;14
RN;5-7 DIAS;2022-02-01;13
RN;5-7 DIAS;2022-02-02;16
RN;5-7 DIAS;2022-02-03;14
RN;5-7 DIAS;2022-02-04;7
RN;5-7 DIAS;2022-02-05;4
RN;5-7 DIAS;2022-02-06;10
RN;5-7 DIAS;2022-02-07;21
RN;8-12 DIAS;2022-01-29;13
RN;8-12 DIAS;2022-01-30;9
RN;8-12 DIAS;2022-01-31;9
RN;8-12 DIAS;2022-02-01;8
RN;8-12 DIAS;2022-02-02;9
RN;8-12 DIAS;2022-02-03;9
RN;8-12 DIAS;2022-02-04;11
RN;8-12 DIAS;2022-02-05;12
RN;8-12 DIAS;2022-02-06;12
RN;8-12 DIAS;2022-02-07;9
RN;ACIMA DE 30 DIAS;2022-01-29;2
RN;ACIMA DE 30 DIAS;2022-01-30;2
RN;ACIMA DE 30 DIAS;2022-01-31;2
RN;ACIMA DE 30 DIAS;2022-02-01;1
RN;ACIMA DE 30 DIAS;2022-02-02;1
RN;ACIMA DE 30 DIAS;2022-02-03;1
RN;ACIMA DE 30 DIAS;2022-02-04;1
RN;ACIMA DE 30 DIAS;2022-02-05;1
RN;ACIMA DE 30 DIAS;2022-02-06;1
RN;ACIMA DE 30 DIAS;2022-02-07;2
RO;0-4 DIAS;2022-01-29;394
RO;0-4 DIAS;2022-01-30;308
RO;0-4 DIAS;2022-01-31;202
RO;0-4 DIAS;2022-02-01;274
RO;0-4 DIAS;2022-02-02;338
RO;0-4 DIAS;2022-02-03;401
RO;0-4 DIAS;2022-02-04;514
RO;0-4 DIAS;2022-02-05;518
RO;0-4 DIAS;2022-02-06;425
RO;0-4 DIAS;2022-02-07;364
RO;13-20 DIAS;2022-01-29;18
RO;13-20 DIAS;2022-01-30;21
RO;13-20 DIAS;2022-01-31;26
RO;13-20 DIAS;2022-02-01;27
RO;13-20 DIAS;2022-02-02;23
RO;13-20 DIAS;2022-02-03;26
RO;13-20 DIAS;2022-02-04;22
RO;13-20 DIAS;2022-02-05;18
RO;13-20 DIAS;2022-02-06;23
RO;13-20 DIAS;2022-02-07;23
RO;21-30 DIAS;2022-01-29;6
RO;21-30 DIAS;2022-01-30;5
RO;21-30 DIAS;2022-01-31;6
RO;21-30 DIAS;2022-02-01;6
RO;21-30 DIAS;2022-02-02;8
RO;21-30 DIAS;2022-02-03;11
RO;21-30 DIAS;2022-02-04;14
RO;21-30 DIAS;2022-02-05;9
RO;21-30 DIAS;2022-02-06;6
RO;21-30 DIAS;2022-02-07;4
RO;5-7 DIAS;2022-01-29;23
RO;5-7 DIAS;2022-01-30;43
RO;5-7 DIAS;2022-01-31;79
RO;5-7 DIAS;2022-02-01;92
RO;5-7 DIAS;2022-02-02;103
RO;5-7 DIAS;2022-02-03;73
RO;5-7 DIAS;2022-02-04;42
RO;5-7 DIAS;2022-02-05;36
RO;5-7 DIAS;2022-02-06;65
RO;5-7 DIAS;2022-02-07;119
RO;8-12 DIAS;2022-01-29;56
RO;8-12 DIAS;2022-01-30;49
RO;8-12 DIAS;2022-01-31;42
RO;8-12 DIAS;2022-02-01;33
RO;8-12 DIAS;2022-02-02;43
RO;8-12 DIAS;2022-02-03;47
RO;8-12 DIAS;2022-02-04;59
RO;8-12 DIAS;2022-02-05;76
RO;8-12 DIAS;2022-02-06;72
RO;8-12 DIAS;2022-02-07;40
RO;ACIMA DE 30 DIAS;2022-01-29;10
RO;ACIMA DE 30 DIAS;2022-01-30;10
RO;ACIMA DE 30 DIAS;2022-01-31;10
RO;ACIMA DE 30 DIAS;2022-02-01;9
RO;ACIMA DE 30 DIAS;2022-02-02;8
RO;ACIMA DE 30 DIAS;2022-02-03;8
RO;ACIMA DE 30 DIAS;2022-02-04;8
RO;ACIMA DE 30 DIAS;2022-02-05;9
RO;ACIMA DE 30 DIAS;2022-02-06;8
RO;ACIMA DE 30 DIAS;2022-02-07;9
RR;0-4 DIAS;2022-01-29;106
RR;0-4 DIAS;2022-01-30;80
RR;0-4 DIAS;2022-01-31;79
RR;0-4 DIAS;2022-02-01;98
RR;0-4 DIAS;2022-02-02;116
RR;0-4 DIAS;2022-02-03;135
RR;0-4 DIAS;2022-02-04;143
RR;0-4 DIAS;2022-02-05;120
RR;0-4 DIAS;2022-02-06;98
RR;0-4 DIAS;2022-02-07;93
RR;13-20 DIAS;2022-01-29;3
RR;13-20 DIAS;2022-01-30;4
RR;13-20 DIAS;2022-01-31;6
RR;13-20 DIAS;2022-02-01;3
RR;13-20 DIAS;2022-02-02;3
RR;13-20 DIAS;2022-02-03;3
RR;13-20 DIAS;2022-02-04;1
RR;13-20 DIAS;2022-02-05;1
RR;13-20 DIAS;2022-02-06;1
RR;13-20 DIAS;2022-02-07;3
RR;21-30 DIAS;2022-01-29;1
RR;21-30 DIAS;2022-02-03;1
RR;21-30 DIAS;2022-02-04;3
RR;21-30 DIAS;2022-02-05;2
RR;21-30 DIAS;2022-02-06;2
RR;21-30 DIAS;2022-02-07;2
RR;5-7 DIAS;2022-01-29;4
RR;5-7 DIAS;2022-01-30;12
RR;5-7 DIAS;2022-01-31;19
RR;5-7 DIAS;2022-02-01;17
RR;5-7 DIAS;2022-02-02;13
RR;5-7 DIAS;2022-02-03;8
RR;5-7 DIAS;2022-02-04;6
RR;5-7 DIAS;2022-02-05;11
RR;5-7 DIAS;2022-02-06;9
RR;5-7 DIAS;2022-02-07;18
RR;8-12 DIAS;2022-01-29;6
RR;8-12 DIAS;2022-01-30;5
RR;8-12 DIAS;2022-01-31;3
RR;8-12 DIAS;2022-02-01;4
RR;8-12 DIAS;2022-02-02;8
RR;8-12 DIAS;2022-02-03;9
RR;8-12 DIAS;2022-02-04;10
RR;8-12 DIAS;2022-02-05;10
RR;8-12 DIAS;2022-02-06;13
RR;8-12 DIAS;2022-02-07;8
RR;ACIMA DE 30 DIAS;2022-01-29;2
RR;ACIMA DE 30 DIAS;2022-01-30;3
RR;ACIMA DE 30 DIAS;2022-01-31;3
RR;ACIMA DE 30 DIAS;2022-02-01;3
RR;ACIMA DE 30 DIAS;2022-02-02;3
RR;ACIMA DE 30 DIAS;2022-02-03;3
RR;ACIMA DE 30 DIAS;2022-02-04;3
RR;ACIMA DE 30 DIAS;2022-02-05;2
RR;ACIMA DE 30 DIAS;2022-02-06;2
RR;ACIMA DE 30 DIAS;2022-02-07;2
RS;0-4 DIAS;2022-01-29;2494
RS;0-4 DIAS;2022-01-30;1982
RS;0-4 DIAS;2022-01-31;1723
RS;0-4 DIAS;2022-02-01;1751
RS;0-4 DIAS;2022-02-02;1919
RS;0-4 DIAS;2022-02-03;2189
RS;0-4 DIAS;2022-02-04;2433
RS;0-4 DIAS;2022-02-05;2296
RS;0-4 DIAS;2022-02-06;1876
RS;0-4 DIAS;2022-02-07;1586
RS;13-20 DIAS;2022-01-29;156
RS;13-20 DIAS;2022-01-30;179
RS;13-20 DIAS;2022-01-31;248
RS;13-20 DIAS;2022-02-01;221
RS;13-20 DIAS;2022-02-02;225
RS;13-20 DIAS;2022-02-03;231
RS;13-20 DIAS;2022-02-04;192
RS;13-20 DIAS;2022-02-05;155
RS;13-20 DIAS;2022-02-06;192
RS;13-20 DIAS;2022-02-07;215
RS;21-30 DIAS;2022-01-29;67
RS;21-30 DIAS;2022-01-30;61
RS;21-30 DIAS;2022-01-31;68
RS;21-30 DIAS;2022-02-01;58
RS;21-30 DIAS;2022-02-02;61
RS;21-30 DIAS;2022-02-03;69
RS;21-30 DIAS;2022-02-04;74
RS;21-30 DIAS;2022-02-05;66
RS;21-30 DIAS;2022-02-06;53
RS;21-30 DIAS;2022-02-07;50
RS;5-7 DIAS;2022-01-29;294
RS;5-7 DIAS;2022-01-30;452
RS;5-7 DIAS;2022-01-31;715
RS;5-7 DIAS;2022-02-01;667
RS;5-7 DIAS;2022-02-02;670
RS;5-7 DIAS;2022-02-03;558
RS;5-7 DIAS;2022-02-04;316
RS;5-7 DIAS;2022-02-05;326
RS;5-7 DIAS;2022-02-06;532
RS;5-7 DIAS;2022-02-07;790
RS;8-12 DIAS;2022-01-29;527
RS;8-12 DIAS;2022-01-30;498
RS;8-12 DIAS;2022-01-31;416
RS;8-12 DIAS;2022-02-01;325
RS;8-12 DIAS;2022-02-02;370
RS;8-12 DIAS;2022-02-03;385
RS;8-12 DIAS;2022-02-04;469
RS;8-12 DIAS;2022-02-05;558
RS;8-12 DIAS;2022-02-06;537
RS;8-12 DIAS;2022-02-07;349
RS;ACIMA DE 30 DIAS;2022-01-29;60
RS;ACIMA DE 30 DIAS;2022-01-30;63
RS;ACIMA DE 30 DIAS;2022-01-31;64
RS;ACIMA DE 30 DIAS;2022-02-01;53
RS;ACIMA DE 30 DIAS;2022-02-02;47
RS;ACIMA DE 30 DIAS;2022-02-03;50
RS;ACIMA DE 30 DIAS;2022-02-04;47
RS;ACIMA DE 30 DIAS;2022-02-05;52
RS;ACIMA DE 30 DIAS;2022-02-06;58
RS;ACIMA DE 30 DIAS;2022-02-07;59
RS;SEM DATA DE ABERTURA;2022-01-29;2
RS;SEM DATA DE ABERTURA;2022-01-30;2
RS;SEM DATA DE ABERTURA;2022-01-31;2
RS;SEM DATA DE ABERTURA;2022-02-01;2
RS;SEM DATA DE ABERTURA;2022-02-02;2
RS;SEM DATA DE ABERTURA;2022-02-03;2
RS;SEM DATA DE ABERTURA;2022-02-04;2
RS;SEM DATA DE ABERTURA;2022-02-05;2
RS;SEM DATA DE ABERTURA;2022-02-06;2
RS;SEM DATA DE ABERTURA;2022-02-07;2
SC;0-4 DIAS;2022-01-29;650
SC;0-4 DIAS;2022-01-30;551
SC;0-4 DIAS;2022-01-31;465
SC;0-4 DIAS;2022-02-01;476
SC;0-4 DIAS;2022-02-02;522
SC;0-4 DIAS;2022-02-03;586
SC;0-4 DIAS;2022-02-04;679
SC;0-4 DIAS;2022-02-05;677
SC;0-4 DIAS;2022-02-06;603
SC;0-4 DIAS;2022-02-07;527
SC;13-20 DIAS;2022-01-29;38
SC;13-20 DIAS;2022-01-30;53
SC;13-20 DIAS;2022-01-31;68
SC;13-20 DIAS;2022-02-01;61
SC;13-20 DIAS;2022-02-02;58
SC;13-20 DIAS;2022-02-03;65
SC;13-20 DIAS;2022-02-04;57
SC;13-20 DIAS;2022-02-05;50
SC;13-20 DIAS;2022-02-06;54
SC;13-20 DIAS;2022-02-07;49
SC;21-30 DIAS;2022-01-29;17
SC;21-30 DIAS;2022-01-30;15
SC;21-30 DIAS;2022-01-31;17
SC;21-30 DIAS;2022-02-01;16
SC;21-30 DIAS;2022-02-02;16
SC;21-30 DIAS;2022-02-03;16
SC;21-30 DIAS;2022-02-04;12
SC;21-30 DIAS;2022-02-05;11
SC;21-30 DIAS;2022-02-06;10
SC;21-30 DIAS;2022-02-07;15
SC;5-7 DIAS;2022-01-29;83
SC;5-7 DIAS;2022-01-30;127
SC;5-7 DIAS;2022-01-31;213
SC;5-7 DIAS;2022-02-01;206
SC;5-7 DIAS;2022-02-02;171
SC;5-7 DIAS;2022-02-03;115
SC;5-7 DIAS;2022-02-04;54
SC;5-7 DIAS;2022-02-05;91
SC;5-7 DIAS;2022-02-06;128
SC;5-7 DIAS;2022-02-07;190
SC;8-12 DIAS;2022-01-29;146
SC;8-12 DIAS;2022-01-30;125
SC;8-12 DIAS;2022-01-31;109
SC;8-12 DIAS;2022-02-01;92
SC;8-12 DIAS;2022-02-02;111
SC;8-12 DIAS;2022-02-03;114
SC;8-12 DIAS;2022-02-04;133
SC;8-12 DIAS;2022-02-05;138
SC;8-12 DIAS;2022-02-06;125
SC;8-12 DIAS;2022-02-07;78
SC;ACIMA DE 30 DIAS;2022-01-29;26
SC;ACIMA DE 30 DIAS;2022-01-30;27
SC;ACIMA DE 30 DIAS;2022-01-31;27
SC;ACIMA DE 30 DIAS;2022-02-01;24
SC;ACIMA DE 30 DIAS;2022-02-02;21
SC;ACIMA DE 30 DIAS;2022-02-03;21
SC;ACIMA DE 30 DIAS;2022-02-04;24
SC;ACIMA DE 30 DIAS;2022-02-05;23
SC;ACIMA DE 30 DIAS;2022-02-06;25
SC;ACIMA DE 30 DIAS;2022-02-07;25
SC;SEM DATA DE ABERTURA;2022-01-29;1
SC;SEM DATA DE ABERTURA;2022-01-30;1
SC;SEM DATA DE ABERTURA;2022-01-31;1
SC;SEM DATA DE ABERTURA;2022-02-01;1
SC;SEM DATA DE ABERTURA;2022-02-02;1
SC;SEM DATA DE ABERTURA;2022-02-03;1
SC;SEM DATA DE ABERTURA;2022-02-04;1
SC;SEM DATA DE ABERTURA;2022-02-05;1
SC;SEM DATA DE ABERTURA;2022-02-06;1
SC;SEM DATA DE ABERTURA;2022-02-07;1
SE;0-4 DIAS;2022-01-29;74
SE;0-4 DIAS;2022-01-30;53
SE;0-4 DIAS;2022-01-31;43
SE;0-4 DIAS;2022-02-01;46
SE;0-4 DIAS;2022-02-02;56
SE;0-4 DIAS;2022-02-03;57
SE;0-4 DIAS;2022-02-04;73
SE;0-4 DIAS;2022-02-05;69
SE;0-4 DIAS;2022-02-06;40
SE;0-4 DIAS;2022-02-07;32
SE;13-20 DIAS;2022-01-29;2
SE;13-20 DIAS;2022-01-30;8
SE;13-20 DIAS;2022-01-31;10
SE;13-20 DIAS;2022-02-01;10
SE;13-20 DIAS;2022-02-02;6
SE;13-20 DIAS;2022-02-03;6
SE;13-20 DIAS;2022-02-04;5
SE;13-20 DIAS;2022-02-05;4
SE;13-20 DIAS;2022-02-06;5
SE;13-20 DIAS;2022-02-07;4
SE;21-30 DIAS;2022-01-29;2
SE;21-30 DIAS;2022-01-30;2
SE;21-30 DIAS;2022-01-31;2
SE;21-30 DIAS;2022-02-01;1
SE;21-30 DIAS;2022-02-02;2
SE;21-30 DIAS;2022-02-03;2
SE;21-30 DIAS;2022-02-04;2
SE;21-30 DIAS;2022-02-05;1
SE;5-7 DIAS;2022-01-29;10
SE;5-7 DIAS;2022-01-30;13
SE;5-7 DIAS;2022-01-31;25
SE;5-7 DIAS;2022-02-01;19
SE;5-7 DIAS;2022-02-02;16
SE;5-7 DIAS;2022-02-03;8
SE;5-7 DIAS;2022-02-04;6
SE;5-7 DIAS;2022-02-05;2
SE;5-7 DIAS;2022-02-06;6
SE;5-7 DIAS;2022-02-07;10
SE;8-12 DIAS;2022-01-29;21
SE;8-12 DIAS;2022-01-30;17
SE;8-12 DIAS;2022-01-31;15
SE;8-12 DIAS;2022-02-01;10
SE;8-12 DIAS;2022-02-02;13
SE;8-12 DIAS;2022-02-03;13
SE;8-12 DIAS;2022-02-04;9
SE;8-12 DIAS;2022-02-05;12
SE;8-12 DIAS;2022-02-06;10
SE;8-12 DIAS;2022-02-07;8
SE;ACIMA DE 30 DIAS;2022-01-29;3
SE;ACIMA DE 30 DIAS;2022-01-30;3
SE;ACIMA DE 30 DIAS;2022-01-31;3
SE;ACIMA DE 30 DIAS;2022-02-01;3
SE;ACIMA DE 30 DIAS;2022-02-02;3
SE;ACIMA DE 30 DIAS;2022-02-03;3
SE;ACIMA DE 30 DIAS;2022-02-04;3
SE;ACIMA DE 30 DIAS;2022-02-05;3
SE;ACIMA DE 30 DIAS;2022-02-06;4
SE;ACIMA DE 30 DIAS;2022-02-07;4
SE;SEM DATA DE ABERTURA;2022-02-03;1
SE;SEM DATA DE ABERTURA;2022-02-04;1
SE;SEM DATA DE ABERTURA;2022-02-05;1
SE;SEM DATA DE ABERTURA;2022-02-06;1
SE;SEM DATA DE ABERTURA;2022-02-07;1
SP;0-4 DIAS;2022-01-29;91
SP;0-4 DIAS;2022-01-30;100
SP;0-4 DIAS;2022-01-31;95
SP;0-4 DIAS;2022-02-01;87
SP;0-4 DIAS;2022-02-02;68
SP;0-4 DIAS;2022-02-03;51
SP;0-4 DIAS;2022-02-04;52
SP;0-4 DIAS;2022-02-05;53
SP;0-4 DIAS;2022-02-06;34
SP;0-4 DIAS;2022-02-07;31
SP;13-20 DIAS;2022-01-29;6
SP;13-20 DIAS;2022-01-30;7
SP;13-20 DIAS;2022-01-31;7
SP;13-20 DIAS;2022-02-01;7
SP;13-20 DIAS;2022-02-02;8
SP;13-20 DIAS;2022-02-03;6
SP;13-20 DIAS;2022-02-04;5
SP;13-20 DIAS;2022-02-05;4
SP;13-20 DIAS;2022-02-06;7
SP;13-20 DIAS;2022-02-07;8
SP;21-30 DIAS;2022-01-29;8
SP;21-30 DIAS;2022-01-30;8
SP;21-30 DIAS;2022-01-31;10
SP;21-30 DIAS;2022-02-01;9
SP;21-30 DIAS;2022-02-02;9
SP;21-30 DIAS;2022-02-03;8
SP;21-30 DIAS;2022-02-04;7
SP;21-30 DIAS;2022-02-05;7
SP;21-30 DIAS;2022-02-06;7
SP;21-30 DIAS;2022-02-07;3
SP;5-7 DIAS;2022-01-29;8
SP;5-7 DIAS;2022-01-30;8
SP;5-7 DIAS;2022-01-31;19
SP;5-7 DIAS;2022-02-01;29
SP;5-7 DIAS;2022-02-02;41
SP;5-7 DIAS;2022-02-03;44
SP;5-7 DIAS;2022-02-04;27
SP;5-7 DIAS;2022-02-05;16
SP;5-7 DIAS;2022-02-06;12
SP;5-7 DIAS;2022-02-07;15
SP;8-12 DIAS;2022-01-29;10
SP;8-12 DIAS;2022-01-30;11
SP;8-12 DIAS;2022-01-31;9
SP;8-12 DIAS;2022-02-01;6
SP;8-12 DIAS;2022-02-02;7
SP;8-12 DIAS;2022-02-03;11
SP;8-12 DIAS;2022-02-04;19
SP;8-12 DIAS;2022-02-05;23
SP;8-12 DIAS;2022-02-06;27
SP;8-12 DIAS;2022-02-07;22
SP;ACIMA DE 30 DIAS;2022-01-29;15
SP;ACIMA DE 30 DIAS;2022-01-30;15
SP;ACIMA DE 30 DIAS;2022-01-31;15
SP;ACIMA DE 30 DIAS;2022-02-01;14
SP;ACIMA DE 30 DIAS;2022-02-02;14
SP;ACIMA DE 30 DIAS;2022-02-03;13
SP;ACIMA DE 30 DIAS;2022-02-04;11
SP;ACIMA DE 30 DIAS;2022-02-05;10
SP;ACIMA DE 30 DIAS;2022-02-06;10
SP;ACIMA DE 30 DIAS;2022-02-07;11
TO;0-4 DIAS;2022-01-29;278
TO;0-4 DIAS;2022-01-30;205
TO;0-4 DIAS;2022-01-31;185
TO;0-4 DIAS;2022-02-01;194
TO;0-4 DIAS;2022-02-02;163
TO;0-4 DIAS;2022-02-03;213
TO;0-4 DIAS;2022-02-04;249
TO;0-4 DIAS;2022-02-05;251
TO;0-4 DIAS;2022-02-06;218
TO;0-4 DIAS;2022-02-07;180
TO;13-20 DIAS;2022-01-29;12
TO;13-20 DIAS;2022-01-30;14
TO;13-20 DIAS;2022-01-31;16
TO;13-20 DIAS;2022-02-01;11
TO;13-20 DIAS;2022-02-02;15
TO;13-20 DIAS;2022-02-03;14
TO;13-20 DIAS;2022-02-04;12
TO;13-20 DIAS;2022-02-05;8
TO;13-20 DIAS;2022-02-06;8
TO;13-20 DIAS;2022-02-07;9
TO;21-30 DIAS;2022-01-31;1
TO;21-30 DIAS;2022-02-01;1
TO;21-30 DIAS;2022-02-02;1
TO;21-30 DIAS;2022-02-03;2
TO;21-30 DIAS;2022-02-04;2
TO;21-30 DIAS;2022-02-05;2
TO;21-30 DIAS;2022-02-06;2
TO;21-30 DIAS;2022-02-07;2
TO;5-7 DIAS;2022-01-29;23
TO;5-7 DIAS;2022-01-30;45
TO;5-7 DIAS;2022-01-31;71
TO;5-7 DIAS;2022-02-01;60
TO;5-7 DIAS;2022-02-02;74
TO;5-7 DIAS;2022-02-03;50
TO;5-7 DIAS;2022-02-04;26
TO;5-7 DIAS;2022-02-05;18
TO;5-7 DIAS;2022-02-06;24
TO;5-7 DIAS;2022-02-07;58
TO;8-12 DIAS;2022-01-29;51
TO;8-12 DIAS;2022-01-30;32
TO;8-12 DIAS;2022-01-31;29
TO;8-12 DIAS;2022-02-01;23
TO;8-12 DIAS;2022-02-02;26
TO;8-12 DIAS;2022-02-03;24
TO;8-12 DIAS;2022-02-04;25
TO;8-12 DIAS;2022-02-05;38
TO;8-12 DIAS;2022-02-06;37
TO;8-12 DIAS;2022-02-07;20
TO;ACIMA DE 30 DIAS;2022-01-29;3
TO;ACIMA DE 30 DIAS;2022-01-30;3
TO;ACIMA DE 30 DIAS;2022-01-31;3
TO;ACIMA DE 30 DIAS;2022-02-01;3
TO;ACIMA DE 30 DIAS;2022-02-02;2
TO;ACIMA DE 30 DIAS;2022-02-03;2
TO;ACIMA DE 30 DIAS;2022-02-04;2
TO;ACIMA DE 30 DIAS;2022-02-05;2
TO;ACIMA DE 30 DIAS;2022-02-06;2
TO;ACIMA DE 30 DIAS;2022-02-07;2
TO;SEM DATA DE ABERTURA;2022-01-29;1
TO;SEM DATA DE ABERTURA;2022-01-30;1
TO;SEM DATA DE ABERTURA;2022-01-31;1
TO;SEM DATA DE ABERTURA;2022-02-01;1
TO;SEM DATA DE ABERTURA;2022-02-02;1
TO;SEM DATA DE ABERTURA;2022-02-03;1
TO;SEM DATA DE ABERTURA;2022-02-04;1
TO;SEM DATA DE ABERTURA;2022-02-05;1
TO;SEM DATA DE ABERTURA;2022-02-06;1
TO;SEM DATA DE ABERTURA;2022-02-07;1
