DOCUMENTOASSOCIADO;BI;EXCEL
4-91034510735;2;1
4-91037642018;2;1
4-91038310470;2;1
4-91040251060;2;1
4-91041938421;2;1
4-91044208915;2;1
4-91044253434;2;1
4-91045616549;2;1
4-91047149756;2;1
4-91048875256;2;1
4-91051079686;2;1
4-91054216787;2;1
4-91057959099;2;1
4-91091793956;2;1
4-91093285811;2;1
4-91096810804;2;1
4-91101866975;2;1
4-91102356899;2;1
4-91103957788;2;1
4-91105077611;2;1
4-91106028903;2;1
4-91108787480;2;1
4-91111972094;2;1
4-91118224750;2;1
4-91118828685;2;1
4-91121043760;2;1
4-91124911636;2;1
4-91125278445;2;1
4-91125381666;2;1
4-91127805751;2;1
4-91130409654;2;1
4-91131179871;2;1
4-91132781047;2;1
4-91136391726;2;1
4-91136983761;2;1
4-91137640764;2;1
4-91138595482;2;1
4-91138953875;2;1
4-91139029392;2;1
4-91140093359;2;1
4-91144035032;2;1
4-91144781936;2;1
4-91144958706;2;1
4-91146830989;2;1
4-91146974549;2;1
4-91148248015;2;1
4-91150941741;2;1
4-91151102031;2;1
4-91152211109;2;1
4-91153450567;2;1
4-91153807888;2;1
4-91154532429;2;1
4-91157016041;2;1
4-91161966183;2;1
4-91164542960;2;1
4-91167668644;2;1
4-91168835188;2;1
4-91175491840;2;1
4-91208914168;2;1
4-91209328791;2;1
4-91211032514;2;1
4-91215928778;2;1
4-91218273931;2;1
4-91218954319;2;1
4-91221731287;2;1
4-91222905328;2;1
4-91228662608;2;1
4-91228868309;2;1
4-91230518499;2;1
4-91232293905;2;1
4-91232341744;2;1
4-91234170345;2;1
4-91234779129;2;1
4-91235940501;2;1
4-91236547131;2;1
4-91237283778;2;1
4-91237325252;2;1
4-91238438723;2;1
4-91238864656;2;1
4-91239802045;2;1
4-91240453976;2;1
4-91241791544;2;1
4-91242088791;2;1
4-91250900945;2;1
4-91252590254;2;1
4-91253622058;2;1
4-91254038172;2;1
4-91255679431;2;1
4-91148982172;2;1
4-91149054320;2;1
4-91149439305;2;1
4-91150276314;2;1
4-91150393839;2;1
4-91152172554;2;1
4-91152829641;2;1
4-91156164327;2;1
4-91156815483;2;1
4-91156831264;2;1
4-91156995791;2;1
4-91158075320;2;1
4-91159337072;2;1
4-91159544428;2;1
4-91160901980;2;1
4-91161064266;2;1
4-91163102343;2;1
4-91163384004;2;1
4-91163913891;2;1
4-91166210217;2;1
4-91167837638;2;1
4-91169006583;2;1
4-91170032967;2;1
4-91171123841;2;1
4-91175013967;2;1
4-91177794706;2;1
4-91206023056;2;1
4-91206153649;2;1
4-91207204782;2;1
4-91218965892;2;1
4-91219523626;2;1
4-91223073749;2;1
4-91223778970;2;1
4-91224834238;2;1
4-91225078466;2;1
4-91225981850;2;1
4-91228436387;2;1
4-91229489491;2;1
4-91230549067;2;1
4-91230878880;2;1
4-91231937678;2;1
4-91232470362;2;1
4-91237547266;2;1
4-91237778948;2;1
4-91240763163;2;1
4-91240810666;2;1
4-91242365185;2;1
4-91243731715;2;1
4-91251331156;2;1
4-91252477066;2;1
4-91253204100;2;1
4-91254402809;2;1
4-91255577710;2;1
4-91257432278;2;1
4-91258364548;2;1
4-91258524075;2;1
4-91259013339;2;1
4-91262260197;2;1
4-91263284806;2;1
4-91267169277;2;1
4-91268786917;2;1
4-91269394842;2;1
4-91270472030;2;1
4-91271737409;2;1
4-91274782159;2;1
4-91278907158;2;1
4-91280477140;2;1
4-91282886352;2;1
4-91288126687;2;1
4-91310730666;2;1
4-91313918289;2;1
4-91314510199;2;1
4-91323655691;2;1
4-91325679676;2;1
4-91326292464;2;1
4-91326882334;2;1
4-91327420775;2;1
4-91330475461;2;1
4-91331079791;2;1
4-91333072315;2;1
4-91334007487;2;1
4-91335311405;2;1
4-91335954797;2;1
4-91338595837;2;1
4-91339624073;2;1
4-91344164596;2;1
4-91344208774;2;1
4-91345031046;2;1
4-91346979467;2;1
4-91348322657;2;1
4-91375837667;2;1
4-91380791773;2;1
4-91384959362;2;1
4-91389484730;2;1
4-91389775268;2;1
4-91394444141;2;1
4-91406391287;2;1
4-91457486403;2;1
4-91460827726;2;1
4-91461877620;2;1
4-91462434048;2;1
4-91463462016;2;1
4-91463527151;2;1
4-91465446867;2;1
4-91470878149;2;1
4-91474123173;2;1
4-91475519825;2;1
4-91478005612;2;1
4-91478393830;2;1
4-91481331805;2;1
4-91482009992;2;1
4-91482112537;2;1
4-91487765995;2;1
4-91488885606;2;1
4-91490456656;2;1
4-91490689362;2;1
4-91490722461;2;1
4-91491866674;2;1
4-91492750913;2;1
4-91496248792;2;1
4-91497753138;2;1
4-91499621035;2;1
4-91499920515;2;1
4-91500287222;2;1
4-91500906376;2;1
4-91502473559;2;1
4-91504021374;2;1
4-91504229243;2;1
4-91504825250;2;1
4-91504974986;2;1
4-91505298786;2;1
4-91506289764;2;1
4-91508153699;2;1
4-91508592481;2;1
4-91510375851;2;1
4-91510490659;2;1
4-91511130538;2;1
4-91513173082;2;1
4-91513213969;2;1
4-91515803103;2;1
4-91516082209;2;1
4-91516315447;2;1
4-91517255915;2;1
4-91518043313;2;1
4-91518275230;2;1
4-91518984812;2;1
4-91519910510;2;1
4-91521508813;2;1
4-91521884613;2;1
4-91522240824;2;1
4-91530296440;2;1
4-91533952629;2;1
4-91534522518;2;1
4-91536976901;2;1
4-91539354573;2;1
4-91539463639;2;1
4-91541380635;2;1
4-91546828813;2;1
4-91585714767;2;1
4-91586964875;2;1
4-91589695359;2;1
4-91589752009;2;1
4-91590606062;2;1
4-91591257941;2;1
4-91592997370;2;1
4-91593525656;2;1
4-91594263359;2;1
4-91595176742;2;1
4-91597118046;2;1
4-91597503734;2;1
4-91599722596;2;1
4-91601083074;2;1
4-91601301028;2;1
4-91601429202;2;1
4-91602649204;2;1
4-91602917555;2;1
4-91602979298;2;1
4-91604235800;2;1
4-91605217805;2;1
4-91605958737;2;1
4-91607920310;2;1
4-91608262186;2;1
4-91609102387;2;1
4-91609774016;2;1
4-91610600367;2;1
4-91611707846;2;1
4-91611899603;2;1
4-91613650462;2;1
4-91618810576;2;1
4-91618988510;2;1
4-91622860458;2;1
4-91624980114;2;1
4-91625752856;2;1
4-91626581506;2;1
4-91628386930;2;1
4-91628990284;2;1
4-91629232036;2;1
4-91631135798;2;1
4-91631426188;2;1
4-91633060426;2;1
4-91633678433;2;1
4-91634407940;2;1
4-91635548272;2;1
4-91635630447;2;1
4-91638115527;2;1
4-91640449360;2;1
4-91641222818;2;1
4-91642341243;2;1
4-91642987519;2;1
4-91644613053;2;1
4-91644739913;2;1
4-91645403958;2;1
4-91646099438;2;1
4-91646234898;2;1
4-91646349365;2;1
4-91648938381;2;1
4-91649622251;2;1
4-91651092217;2;1
4-91652065039;2;1
4-91652639120;2;1
4-91654688315;2;1
4-91654845788;2;1
4-91656084034;2;1
4-91656806330;2;1
4-91657058914;2;1
4-91657153499;2;1
4-91657287808;2;1
4-91658089834;2;1
4-91660755207;2;1
4-91662326515;2;1
4-91663908444;2;1
4-91664905516;2;1
4-91665111818;2;1
4-91671757144;2;1
4-91672177442;2;1
4-91710423660;2;1
4-91712937219;2;1
4-91713173556;2;1
4-91714488449;2;1
4-91715517151;2;1
4-91719852204;2;1
4-91721424391;2;1
4-91722091042;2;1
4-91725500737;2;1
4-91727229572;2;1
4-91727711194;2;1
4-91728772049;2;1
4-91736744854;2;1
4-91737396725;2;1
4-91738095191;2;1
4-91738179727;2;1
4-91741147213;2;1
4-91742259273;2;1
4-91744397488;2;1
4-91749285415;2;1
4-91750762216;2;1
4-91751155675;2;1
4-91751562656;2;1
4-91753471874;2;1
4-91755490379;2;1
4-91756994768;2;1
4-91757372655;2;1
4-91760938787;2;1
4-91762081478;2;1
4-91765212920;2;1
4-91765282798;2;1
4-91767354260;2;1
4-91770522323;2;1
4-91781308334;2;1
4-91782318422;2;1
4-91164953691;2;1
4-91165332305;2;1
4-91168149781;2;1
4-91168701223;2;1
4-91171087783;2;1
4-91171595898;2;1
4-91171655500;2;1
4-91172280654;2;1
4-91173338935;2;1
4-91176938828;2;1
4-91208949270;2;1
4-91214949070;2;1
4-91217279042;2;1
4-91219083463;2;1
4-91223402104;2;1
4-91223831341;2;1
4-91224052878;2;1
4-91225954630;2;1
4-91227165691;2;1
4-91228906559;2;1
4-91229956683;2;1
4-91230446051;2;1
4-91230639253;2;1
4-91230745137;2;1
4-91231751733;2;1
4-91231902000;2;1
4-91235804419;2;1
4-91235967044;2;1
4-91239072522;2;1
4-91239201576;2;1
4-91239482838;2;1
4-91240217887;2;1
4-91240579636;2;1
4-91240872415;2;1
4-91241982482;2;1
4-91242259154;2;1
4-91247486255;2;1
4-91247621562;2;1
4-91249645542;2;1
4-91249968969;2;1
4-91250512329;2;1
4-91250521757;2;1
4-91250962916;2;1
4-91253278627;2;1
4-91257961532;2;1
4-91258748543;2;1
4-91259101181;2;1
4-91259194462;2;1
4-91261512035;2;1
4-91262898178;2;1
4-91263644696;2;1
4-91263749913;2;1
4-91263983895;2;1
4-91265363096;2;1
4-91265569697;2;1
4-91265615306;2;1
4-91266447073;2;1
4-91268526765;2;1
4-91268856903;2;1
4-91271717298;2;1
4-91272315810;2;1
4-91272908223;2;1
4-91275103924;2;1
4-91276146682;2;1
4-91282038309;2;1
4-91283772018;2;1
4-91307348601;2;1
4-91316285028;2;1
4-91323325424;2;1
4-91324078899;2;1
4-91326134732;2;1
4-91328201915;2;1
4-91330126523;2;1
4-91330652102;2;1
4-91330923715;2;1
4-91331075891;2;1
4-91333617761;2;1
4-91334473904;2;1
4-91334879829;2;1
4-91335239664;2;1
4-91335609032;2;1
4-91337605978;2;1
4-91338581748;2;1
4-91340287002;2;1
4-91340357629;2;1
4-91342511160;2;1
4-91343815688;2;1
4-91344429193;2;1
4-91349533423;2;1
4-91365259443;2;1
4-91456246014;2;1
4-91458375373;2;1
4-91458470527;2;1
4-91462920371;2;1
4-91471173475;2;1
4-91471548775;2;1
4-91472516757;2;1
4-91473102993;2;1
4-91473323375;2;1
4-91473936365;2;1
4-91474248293;2;1
4-91475614242;2;1
4-91477060583;2;1
4-91477228264;2;1
4-91481783526;2;1
4-91483396309;2;1
4-91487641560;2;1
4-91489363485;2;1
4-91489643910;2;1
4-91490573824;2;1
4-91490663836;2;1
4-91491882756;2;1
4-91492269600;2;1
4-91493206496;2;1
4-91493774192;2;1
4-91494119965;2;1
4-91494684718;2;1
4-91501044969;2;1
4-91501874790;2;1
4-91503251802;2;1
4-91504347450;2;1
4-91505153491;2;1
4-91508602233;2;1
4-91512456928;2;1
4-91512486507;2;1
4-91513134866;2;1
4-91513202800;2;1
4-91514423830;2;1
4-91517532139;2;1
4-91517875278;2;1
4-91518695125;2;1
4-91518956562;2;1
4-91519001429;2;1
4-91519300045;2;1
4-91521960774;2;1
4-91523750125;2;1
4-91524673551;2;1
4-91524728926;2;1
4-91525577965;2;1
4-91530983510;2;1
4-91534923647;2;1
4-91536469650;2;1
4-91536741638;2;1
4-91537526166;2;1
4-91541063308;2;1
4-91543620321;2;1
4-91545383445;2;1
4-91585143459;2;1
4-91585790548;2;1
4-91587519088;2;1
4-91588504635;2;1
4-91589042089;2;1
4-91595042757;2;1
4-91595859502;2;1
4-91596481183;2;1
4-91599224901;2;1
4-91602368513;2;1
4-91603627587;2;1
4-91607180530;2;1
4-91609311173;2;1
4-91609793969;2;1
4-91610369295;2;1
4-91610571542;2;1
4-91611262533;2;1
4-91614045832;2;1
4-91614891715;2;1
4-91615355993;2;1
4-91616725619;2;1
4-91616825837;2;1
4-91618051631;2;1
4-91618174259;2;1
4-91619075737;2;1
4-91620423671;2;1
4-91621433715;2;1
4-91623671604;2;1
4-91625028896;2;1
4-91626565975;2;1
4-91628342401;2;1
4-91628976127;2;1
4-91629098591;2;1
4-91632771044;2;1
4-91634808901;2;1
4-91635099195;2;1
4-91637333645;2;1
4-91637687859;2;1
4-91638941098;2;1
4-91640125699;2;1
4-91640144895;2;1
4-91640306473;2;1
4-91642160626;2;1
4-91642565334;2;1
4-91645305378;2;1
4-91645377785;2;1
4-91645474169;2;1
4-91645751952;2;1
4-91645756991;2;1
4-91645788865;2;1
4-91646764093;2;1
4-91647184876;2;1
4-91648538698;2;1
4-91648611710;2;1
4-91648957394;2;1
4-91649853426;2;1
4-91650687337;2;1
4-91651149952;2;1
4-91652291015;2;1
4-91654127796;2;1
4-91654379016;2;1
4-91656218580;2;1
4-91657241641;2;1
4-91658692034;2;1
4-91658729403;2;1
4-91659327844;2;1
4-91660964279;2;1
4-91661960599;2;1
4-91663010841;2;1
4-91666763469;2;1
4-91670120570;2;1
4-91708766169;2;1
4-91710759888;2;1
4-91256403541;2;1
4-91256624203;2;1
4-91257587456;2;1
4-91258700210;2;1
4-91259302485;2;1
4-91259856048;2;1
4-91259870333;2;1
4-91261224852;2;1
4-91261639174;2;1
4-91265968508;2;1
4-91265997328;2;1
4-91266888037;2;1
4-91268379637;2;1
4-91270846618;2;1
4-91272998404;2;1
4-91274867809;2;1
4-91277016841;2;1
4-91281165529;2;1
4-91283409987;2;1
4-91314817847;2;1
4-91321244829;2;1
4-91322925821;2;1
4-91324258735;2;1
4-91324369552;2;1
4-91324842741;2;1
4-91325160461;2;1
4-91325300064;2;1
4-91327393050;2;1
4-91328150034;2;1
4-91330496331;2;1
4-91332739445;2;1
4-91333724635;2;1
4-91334625108;2;1
4-91350395494;2;1
4-91360772065;2;1
4-91451980108;2;1
4-91459748028;2;1
4-91460836360;2;1
4-91467388051;2;1
4-91467581087;2;1
4-91470727046;2;1
4-91471125211;2;1
4-91473922713;2;1
4-91483748182;2;1
4-91484617822;2;1
4-91487850585;2;1
4-91489707511;2;1
4-91491113200;2;1
4-91492973765;2;1
4-91495293678;2;1
4-91499107731;2;1
4-91500735212;2;1
4-91500879388;2;1
4-91501246797;2;1
4-91503032285;2;1
4-91503497063;2;1
4-91503876524;2;1
4-91504122072;2;1
4-91504713495;2;1
4-91505066871;2;1
4-91505554480;2;1
4-91506777886;2;1
4-91507072034;2;1
4-91507408733;2;1
4-91508055272;2;1
4-91509552611;2;1
4-91509632534;2;1
4-91509669964;2;1
4-91511142944;2;1
4-91511717757;2;1
4-91514093036;2;1
4-91514321390;2;1
4-91514829618;2;1
4-91515622569;2;1
4-91515639089;2;1
4-91515752712;2;1
4-91516265926;2;1
4-91516298981;2;1
4-91516541366;2;1
4-91517540303;2;1
4-91518657454;2;1
4-91518896155;2;1
4-91520631564;2;1
4-91520912446;2;1
4-91523686247;2;1
4-91526315182;2;1
4-91526737182;2;1
4-91527705837;2;1
4-91529430177;2;1
4-91529584712;2;1
4-91529714969;2;1
4-91530025495;2;1
4-91532606619;2;1
4-91534270501;2;1
4-91535476950;2;1
4-91537888097;2;1
4-91538718651;2;1
4-91541187583;2;1
4-91580658022;2;1
4-91584385936;2;1
4-91584470706;2;1
4-91587005897;2;1
4-91587100999;2;1
4-91591365501;2;1
4-91591645974;2;1
4-91593392666;2;1
4-91595412883;2;1
4-91597643165;2;1
4-91599938736;2;1
4-91602861485;2;1
4-91603224184;2;1
4-91603268348;2;1
4-91604357671;2;1
4-91604827192;2;1
4-91606362887;2;1
4-91606399607;2;1
4-91607414587;2;1
4-91608367649;2;1
4-91611145880;2;1
4-91612675418;2;1
4-91612801793;2;1
4-91614256565;2;1
4-91617746356;2;1
4-91617974398;2;1
4-91621615736;2;1
4-91622078850;2;1
4-91623611223;2;1
4-91623709173;2;1
4-91624247352;2;1
4-91624739645;2;1
4-91626374883;2;1
4-91628224284;2;1
4-91629574473;2;1
4-91629734395;2;1
4-91634880315;2;1
4-91634886225;2;1
4-91635584472;2;1
4-91637343191;2;1
4-91638239705;2;1
4-91638323645;2;1
4-91639654601;2;1
4-91640296083;2;1
4-91640993774;2;1
4-91642367017;2;1
4-91643914157;2;1
4-91645126182;2;1
4-91645932830;2;1
4-91646742573;2;1
4-91647679119;2;1
4-91647903739;2;1
4-91648646000;2;1
4-91648925929;2;1
4-91650283202;2;1
4-91650591311;2;1
4-91650899167;2;1
4-91650971653;2;1
4-91654371895;2;1
4-91654980458;2;1
4-91658705848;2;1
4-91659156179;2;1
4-91661334813;2;1
4-91664989781;2;1
4-91667241963;2;1
4-91707772897;2;1
4-91708175361;2;1
4-91713602099;2;1
4-91716249346;2;1
4-91721939464;2;1
4-91721957886;2;1
4-91722451039;2;1
4-91724141608;2;1
4-91727624994;2;1
4-91731100574;2;1
4-91731807573;2;1
4-91732936639;2;1
4-91734294857;2;1
4-91734906035;2;1
4-91736159163;2;1
4-91737908540;2;1
4-91738738553;2;1
4-91739175072;2;1
4-91739935080;2;1
4-91740607165;2;1
4-91742052280;2;1
4-91742931049;2;1
4-91743562208;2;1
4-91743758375;2;1
4-91746815451;2;1
4-91746982267;2;1
4-91747310293;2;1
4-91747749804;2;1
4-91749698755;2;1
4-91749744300;2;1
4-91751180463;2;1
4-91751604840;2;1
4-91753381288;2;1
4-91753729497;2;1
4-91758195245;2;1
4-91759191184;2;1
4-91762577539;2;1
4-91769208332;2;1
4-91771022623;2;1
4-91711484985;2;1
4-91712626193;2;1
4-91713470849;2;1
4-91713717996;2;1
4-91715949663;2;1
4-91718446322;2;1
4-91722494138;2;1
4-91723986292;2;1
4-91725639071;2;1
4-91727006482;2;1
4-91727438968;2;1
4-91729272482;2;1
4-91732118064;2;1
4-91733427031;2;1
4-91734683443;2;1
4-91736425457;2;1
4-91737102845;2;1
4-91737884812;2;1
4-91738567526;2;1
4-91740234240;2;1
4-91742449728;2;1
4-91743707885;2;1
4-91743853861;2;1
4-91744022898;2;1
4-91745699220;2;1
4-91750153044;2;1
4-91750782138;2;1
4-91750885062;2;1
4-91751793565;2;1
4-91751905275;2;1
4-91752290705;2;1
4-91753589186;2;1
4-91755311291;2;1
4-91755587479;2;1
4-91757584563;2;1
4-91758056933;2;1
4-91764904088;2;1
4-91766945058;2;1
4-91774172558;2;1
4-21057419335;2;1
4-21254097730;2;1
4-31656936263;2;1
4-44604575858;2;1
4-45017754141;2;1
4-46855719228;2;1
4-46887987910;2;1
4-47053083817;2;1
4-47188277954;2;1
4-47428252119;2;1
4-47543855162;2;1
4-47880397808;2;1
4-48010137217;2;1
4-48094296524;2;1
4-48857831136;2;1
4-49029885497;2;1
4-49076854853;2;1
4-49390616801;2;1
4-49406933931;2;1
4-49427611699;2;1
4-49596784186;2;1
4-49941144099;2;1
4-50426638256;2;1
4-50965708728;2;1
4-51895526432;2;1
4-52597563197;2;1
4-52667709993;2;1
4-53245655362;2;1
4-53341264544;2;1
4-53385160886;2;1
4-53785512850;2;1
4-53937404933;2;1
4-54049115878;2;1
4-54191885881;2;1
4-54193743426;2;1
4-54717791158;2;1
4-54866007521;2;1
4-54928105444;2;1
4-54974381041;2;1
4-55069593918;2;1
4-55491818483;2;1
4-55615157879;2;1
4-55616175957;2;1
4-56229712908;2;1
4-56941489810;2;1
4-57210520512;2;1
4-57240338250;2;1
4-57331319749;2;1
4-57347332186;2;1
4-57352793849;2;1
4-57419923497;2;1
4-57429792831;2;1
4-57461417001;2;1
4-57664455731;2;1
4-57671730204;2;1
4-57866416583;2;1
4-57899014108;2;1
4-57927700796;2;1
4-58102970333;2;1
4-58136706066;2;1
4-58798172357;2;1
4-58894676183;2;1
4-58920470945;2;1
4-58924122646;2;1
4-58928949842;2;1
4-59245185305;2;1
4-59499905896;2;1
4-59656323272;2;1
4-59875398174;2;1
4-59906004189;2;1
4-59919586313;2;1
4-60313731557;2;1
4-60376128080;2;1
4-60398827751;2;1
4-60410273414;2;1
4-60643018336;2;1
4-60671387879;2;1
4-60693824248;2;1
4-60863307870;2;1
4-60864138732;2;1
4-60979548918;2;1
4-61053542815;2;1
4-61428487243;2;1
4-61915632402;2;1
4-62219711409;2;1
4-63390830040;2;1
4-64042008761;2;1
4-65307834059;2;1
4-65404618487;2;1
4-65607821188;2;1
4-66273068587;2;1
4-67094567857;2;1
4-67166266378;2;1
4-67505508329;2;1
4-67838063069;2;1
4-68398751999;2;1
4-68922657016;2;1
4-69020024792;2;1
4-69277315568;2;1
4-70018869642;2;1
4-70023128033;2;1
4-70434860111;2;1
4-70773147462;2;1
4-70925061499;2;1
4-71015989426;2;1
4-71191222359;2;1
4-71955221434;2;1
4-72293138423;2;1
4-73441473278;2;1
4-73853525621;2;1
4-74557553530;2;1
4-74641480320;2;1
4-74779509016;2;1
4-75189013649;2;1
4-75224501744;2;1
4-75542004597;2;1
4-75620590830;2;1
4-75952817412;2;1
4-76169301815;2;1
4-76238530161;2;1
4-76575053942;2;1
4-77014005340;2;1
4-78008018854;2;1
4-78430591368;2;1
4-78448681170;2;1
4-80614318152;2;1
4-80618935213;2;1
4-80870744642;2;1
4-80952648514;2;1
4-80958064664;2;1
4-81819960238;2;1
4-81844321631;2;1
4-82100597051;2;1
4-82173779510;2;1
4-82589825781;2;1
4-83626071171;2;1
4-83687455147;2;1
4-84621509317;2;1
4-84732324911;2;1
4-84884352371;2;1
4-85252212211;2;1
4-85384557748;2;1
4-85392820916;2;1
4-85417726112;2;1
4-85553628657;2;1
4-85663237774;2;1
4-86284727981;2;1
4-86484243002;2;1
4-86897363292;2;1
4-86920767116;2;1
4-86968442453;2;1
4-87108719966;2;1
4-87109611591;2;1
4-87109939383;2;1
4-87208805774;2;1
4-87214263256;2;1
4-87222736121;2;1
4-87260722868;2;1
4-87267254667;2;1
4-87364201409;2;1
4-87497636579;2;1
4-87983415634;2;1
4-88007343627;2;1
4-88025243327;2;1
4-88114364178;2;1
4-88195182513;2;1
4-88238794157;2;1
4-88295989524;2;1
4-88309034173;2;1
4-88317073505;2;1
4-88331638767;2;1
4-88333070831;2;1
4-88398448019;2;1
4-88494429165;2;1
4-88524737024;2;1
4-88525283181;2;1
4-88591363953;2;1
4-88602974970;2;1
4-88616621509;2;1
4-88630201482;2;1
4-88675421908;2;1
4-88694245569;2;1
4-88720610910;2;1
4-88730907589;2;1
4-88820930879;2;1
4-88846278473;2;1
4-88847179288;2;1
4-89015775257;2;1
4-89028609392;2;1
4-89034283019;2;1
4-89084472069;2;1
4-89088838349;2;1
4-89093450512;2;1
4-89101625385;2;1
4-89150717796;2;1
4-89153372188;2;1
4-89165061485;2;1
4-89166741730;2;1
4-89180993989;2;1
4-89182137679;2;1
4-89186219600;2;1
4-89269456966;2;1
4-89299631014;2;1
4-89305045114;2;1
4-89308563335;2;1
4-89309548941;2;1
4-89311899309;2;1
4-89328243445;2;1
4-89409261776;2;1
4-89509784843;2;1
4-89666601197;2;1
4-89686920215;2;1
4-89706942520;2;1
4-89718177773;2;1
4-89756908416;2;1
4-89774766449;2;1
4-89779379013;2;1
4-89871448813;2;1
4-89877105818;2;1
4-89890878339;2;1
4-21167781317;2;1
4-21200095220;2;1
4-26453773447;2;1
4-32267044367;2;1
4-42110054788;2;1
4-44159756363;2;1
4-46736348975;2;1
4-46846535664;2;1
4-47100644616;2;1
4-47108762885;2;1
4-47134352560;2;1
4-47743542875;2;1
4-47804114835;2;1
4-47956009018;2;1
4-48078733048;2;1
4-48772117129;2;1
4-48874973377;2;1
4-49317848961;2;1
4-49491057974;2;1
4-49627745669;2;1
4-49840723099;2;1
4-49846306454;2;1
4-49852847434;2;1
4-49880820514;2;1
4-50076529400;2;1
4-50224067780;2;1
4-51793028977;2;1
4-51793777456;2;1
4-52052044391;2;1
4-52182018967;2;1
4-52493518613;2;1
4-52510403172;2;1
4-52582290031;2;1
4-52669391339;2;1
4-52776825582;2;1
4-53279000327;2;1
4-53286809406;2;1
4-53348659769;2;1
4-53418762609;2;1
4-54257440334;2;1
4-54378528869;2;1
4-54671306696;2;1
4-54822442156;2;1
4-55023859880;2;1
4-55090622146;2;1
4-55164592555;2;1
4-55432367304;2;1
4-55631295932;2;1
4-55777244039;2;1
4-55855790397;2;1
4-55929197199;2;1
4-56472753057;2;1
4-56558769936;2;1
4-56640622726;2;1
4-56721732341;2;1
4-56769314565;2;1
4-56783133831;2;1
4-57316133418;2;1
4-57358227565;2;1
4-57381632986;2;1
4-57668464093;2;1
4-57669109484;2;1
4-57897492437;2;1
4-58073661683;2;1
4-58215188597;2;1
4-58216312991;2;1
4-58232275035;2;1
4-58395180619;2;1
4-58663354770;2;1
4-59306162494;2;1
4-59350360647;2;1
4-59459032829;2;1
4-59611435207;2;1
4-59668468526;2;1
4-59797310552;2;1
4-60012490592;2;1
4-60518280001;2;1
4-60535078312;2;1
4-60804052088;2;1
4-61714196428;2;1
4-62687932462;2;1
4-62706020537;2;1
4-64182540207;2;1
4-64182667386;2;1
4-65067056143;2;1
4-65586409580;2;1
4-66084905836;2;1
4-66306925465;2;1
4-66617714673;2;1
4-67065557209;2;1
4-67087136516;2;1
4-67227168742;2;1
4-67378921363;2;1
4-67511902844;2;1
4-68065544873;2;1
4-68379998715;2;1
4-68449204391;2;1
4-68585478795;2;1
4-69071334412;2;1
4-69375518883;2;1
4-69482957012;2;1
4-70294072478;2;1
4-70436128033;2;1
4-70441690553;2;1
4-71392212466;2;1
4-71834949809;2;1
4-72056747765;2;1
4-72105586147;2;1
4-72487561102;2;1
4-73732999767;2;1
4-73852823532;2;1
4-74429645102;2;1
4-74516410880;2;1
4-74772452152;2;1
4-74859773651;2;1
4-75226311255;2;1
4-75297627651;2;1
4-75558849560;2;1
4-75673672538;2;1
4-75977852350;2;1
4-76283386165;2;1
4-76453054672;2;1
4-76625037736;2;1
4-77660579835;2;1
4-78266008702;2;1
4-78305806614;2;1
4-78315146611;2;1
4-78437068888;2;1
4-78834883300;2;1
4-78978505117;2;1
4-79218193138;2;1
4-79373609974;2;1
4-79764572068;2;1
4-81847266949;2;1
4-82555028214;2;1
4-82589421239;2;1
4-83134307551;2;1
4-83145176761;2;1
4-83495487912;2;1
4-83853941800;2;1
4-84885531443;2;1
4-85315434012;2;1
4-85433442123;2;1
4-85539234247;2;1
4-85555232627;2;1
4-85937445723;2;1
4-86284934033;2;1
4-86468600023;2;1
4-86916180830;2;1
4-87138656867;2;1
4-87474166963;2;1
4-87498076875;2;1
4-87841037973;2;1
4-87856761560;2;1
4-87976499029;2;1
4-88109615828;2;1
4-88114017764;2;1
4-88117107434;2;1
4-88128240384;2;1
4-88210755832;2;1
4-88228348303;2;1
4-88243557588;2;1
4-88298649514;2;1
4-88303921997;2;1
4-88494408325;2;1
4-88515876461;2;1
4-88528826057;2;1
4-88529126154;2;1
4-88537324880;2;1
4-88541399273;2;1
4-88618337348;2;1
4-88618794960;2;1
4-88686126351;2;1
4-88703614937;2;1
4-88811322642;2;1
4-88834426362;2;1
4-88840234634;2;1
4-88854310268;2;1
4-88884831222;2;1
4-88994665676;2;1
4-89005339103;2;1
4-89012536350;2;1
4-89018990283;2;1
4-89021793904;2;1
4-89038216152;2;1
4-89068780402;2;1
4-89093830676;2;1
4-89095958350;2;1
4-89101095928;2;1
4-89140517184;2;1
4-89160894870;2;1
4-89272413551;2;1
4-89277101089;2;1
4-89297324873;2;1
4-89303270804;2;1
4-89319055168;2;1
4-89323107152;2;1
4-89334903819;2;1
4-89393052261;2;1
4-89761849953;2;1
4-89783537494;2;1
4-89795971696;2;1
4-89855569096;2;1
4-89857483872;2;1
4-89861774775;2;1
4-89870280483;2;1
4-89872461306;2;1
4-89874334138;2;1
4-89877405013;2;1
4-89880032859;2;1
4-89899681335;2;1
4-89909267823;2;1
4-89910307487;2;1
4-89916089672;2;1
4-89916905245;2;1
4-89928204690;2;1
4-89929297473;2;1
4-89987266491;2;1
4-90029374965;2;1
4-90032275863;2;1
4-89893548673;2;1
4-89894890380;2;1
4-89898069605;2;1
4-89901423194;2;1
4-89904131203;2;1
4-89906146002;2;1
4-89933102068;2;1
4-90009734129;2;1
4-90030989328;2;1
4-90036121460;2;1
4-90051311840;2;1
