DOCUMENTOASSOCIADO;BI;EXCEL
4-58953945212;2;1
4-59126146581;2;1
4-59362883151;2;1
4-59615276941;2;1
4-59621256993;2;1
4-59642706450;2;1
4-59679308862;2;1
4-60020888493;2;1
4-60309285181;2;1
4-60548492157;2;1
4-60613730568;2;1
4-61065584810;2;1
4-61269883470;2;1
4-61296604891;2;1
4-61581575239;2;1
4-61600997503;2;1
4-61767977643;2;1
4-61785644194;2;1
4-62964232188;2;1
4-63263407474;2;1
4-63787510765;2;1
4-63925488479;2;1
4-64392414142;2;1
4-66099776255;2;1
4-66769198994;2;1
4-68053059949;2;1
4-68207488907;2;1
4-69046666009;2;1
4-69347699396;2;1
4-69434028058;2;1
4-69489593773;2;1
4-69596939158;2;1
4-69713404407;2;1
4-70160443516;2;1
4-70549428219;2;1
4-70644386770;2;1
4-71030824632;2;1
4-71972482316;2;1
4-72176420766;2;1
4-72188894281;2;1
4-72575196468;2;1
4-72998432765;2;1
4-73040748441;2;1
4-73137547322;2;1
4-73278906969;2;1
4-73503769966;2;1
4-73736488266;2;1
4-74700428756;2;1
4-74876216964;2;1
4-75758657965;2;1
4-75769320742;2;1
4-76015278969;2;1
4-76105826217;2;1
4-76124721522;2;1
4-76169274012;2;1
4-76280373844;2;1
4-77583986721;2;1
4-77779530742;2;1
4-78204550069;2;1
4-79578309468;2;1
4-79656385061;2;1
4-79780942411;2;1
4-80036805157;2;1
4-80047140499;2;1
4-81102318117;2;1
4-81135809460;2;1
4-81498050094;2;1
4-81498691837;2;1
4-81944119708;2;1
4-81948445233;2;1
4-83165218718;2;1
4-83180553016;2;1
4-83858778872;2;1
4-83859960100;2;1
4-84158137127;2;1
4-85530802494;2;1
4-85962215642;2;1
4-86113216282;2;1
4-86121566398;2;1
4-86218139274;2;1
4-86661878274;2;1
4-86979451975;2;1
4-86983972131;2;1
4-87115963869;2;1
4-87246920556;2;1
4-87334891463;2;1
4-87349366978;2;1
4-87367100709;2;1
4-87496731749;2;1
4-87855070728;2;1
4-87967676245;2;1
4-87972423076;2;1
4-88004115119;2;1
4-88007400519;2;1
4-88065693046;2;1
4-88066563517;2;1
4-88078258202;2;1
4-88230836433;2;1
4-88317355815;2;1
4-88335377602;2;1
4-88492328478;2;1
4-88494888939;2;1
4-88537976734;2;1
4-88697066647;2;1
4-88701974426;2;1
4-88704651435;2;1
4-88709697230;2;1
4-88711842970;2;1
4-88713899352;2;1
4-88832698682;2;1
4-88841904457;2;1
4-88846413327;2;1
4-88883784996;2;1
4-88988569845;2;1
4-89088395600;2;1
4-89105028135;2;1
4-89174955063;2;1
4-89175981552;2;1
4-89180010031;2;1
4-89180711639;2;1
4-89181897061;2;1
4-89209463009;2;1
4-89266185690;2;1
4-89285128465;2;1
4-89302133457;2;1
4-89307615670;2;1
4-89308760242;2;1
4-89308821676;2;1
4-89310837049;2;1
4-89316902330;2;1
4-89321948600;2;1
4-89728232962;2;1
4-89731260509;2;1
4-89731438592;2;1
4-89767007317;2;1
4-89776730898;2;1
4-89777455157;2;1
4-89790112585;2;1
4-89864444800;2;1
4-89873492451;2;1
4-89876367751;2;1
4-89889801869;2;1
4-89901098200;2;1
4-89919382969;2;1
4-89930083608;2;1
4-90042584180;2;1
4-90046684068;2;1
4-90060636643;2;1
4-90069679282;2;1
4-90076375919;2;1
4-90078073002;2;1
4-90078729248;2;1
4-20987458440;2;1
4-31809322466;2;1
4-33102219797;2;1
4-41067658133;2;1
4-41816904718;2;1
4-41950596819;2;1
4-43999405480;2;1
4-47045773601;2;1
4-47190324988;2;1
4-47429827299;2;1
4-47432671646;2;1
4-47494167466;2;1
4-47540511614;2;1
4-47845737284;2;1
4-47942627834;2;1
4-48036596768;2;1
4-48743190557;2;1
4-48870136406;2;1
4-49082248013;2;1
4-49437248870;2;1
4-49570908991;2;1
4-49598394464;2;1
4-49968144173;2;1
4-50170774318;2;1
4-50532045391;2;1
4-50840798182;2;1
4-50910996721;2;1
4-51072331226;2;1
4-51144708117;2;1
4-51431475941;2;1
4-51616454050;2;1
4-52064321749;2;1
4-52084410877;2;1
4-52479471180;2;1
4-52671058191;2;1
4-52675558968;2;1
4-52693668545;2;1
4-52716278454;2;1
4-52962741791;2;1
4-53272547677;2;1
4-54051279653;2;1
4-54151188695;2;1
4-54162408273;2;1
4-54264313911;2;1
4-54710971022;2;1
4-54805163450;2;1
4-54813355825;2;1
4-54828449028;2;1
4-54972535291;2;1
4-55171862642;2;1
4-55479242214;2;1
4-55494354714;2;1
4-55568159681;2;1
4-56060779083;2;1
4-56252386843;2;1
4-56394755614;2;1
4-56586555742;2;1
4-56769150342;2;1
4-56923862363;2;1
4-57604382456;2;1
4-58023359575;2;1
4-58136325177;2;1
4-58255959738;2;1
4-58262658505;2;1
